counter_id,date,time,count,workday,weather
9000000619-1,2020-10-08,11.0,168.57041504079422,1,bad
9000000619-1,2020-10-08,12.0,170.3595011005136,1,bad
9000000619-1,2020-10-08,13.0,216.30181648812317,1,bad
9000000619-1,2020-10-08,14.0,191.21131066106227,1,bad
9000000619-1,2020-10-08,15.0,324.0285487708165,1,bad
9000000619-1,2020-10-08,16.0,271.8504672897198,1,bad
9000000619-1,2020-10-08,17.0,227.7272727272732,1,bad
9000000619-1,2020-10-09,8.0,166.45161290322588,1,good
9000000619-1,2020-10-09,9.0,164.3952907599001,1,good
9000000619-1,2020-10-09,10.0,149.0364025695932,1,good
9000000619-1,2020-10-09,11.0,172.3563696919234,1,good
9000000619-1,2020-10-09,12.0,186.4120455380098,1,good
9000000619-1,2020-10-09,15.0,284.77611940298544,1,good
9000000619-1,2020-10-09,16.0,242.1524663677132,1,good
9000000619-1,2020-10-09,17.0,189.47368421052607,1,good
9000000619-1,2020-10-10,8.0,61.527729333798405,0,good
9000000619-1,2020-10-10,9.0,91.3641170250265,0,good
9000000619-1,2020-10-10,10.0,124.7142857142858,0,good
9000000619-1,2020-10-10,11.0,133.5689045936396,0,good
9000000619-1,2020-10-10,12.0,146.1568782026015,0,good
9000000619-1,2020-10-10,14.0,95.65529622980249,0,good
9000000619-1,2020-10-10,15.0,120.70744288872508,0,good
9000000619-1,2020-10-10,16.0,122.3494643516808,0,good
9000000619-1,2020-10-10,17.0,116.6850828729282,0,good
9000000619-1,2020-10-11,9.0,46.61654135338341,0,bad
9000000619-1,2020-10-11,10.0,52.47410817031071,0,bad
9000000619-1,2020-10-11,11.0,73.12234293812001,0,bad
9000000619-1,2020-10-11,12.0,118.7865886109632,0,bad
9000000619-1,2020-10-12,8.0,210.51745898190978,1,good
9000000619-1,2020-10-12,9.0,161.3836921990822,1,good
9000000619-1,2020-10-12,10.0,151.67446885127828,1,good
9000000619-1,2020-10-12,11.0,168.54896354538968,1,good
